feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV262	Lifestage	.L	Lifestage.L	-2.55816451247636	0	0.462942424180755	3.27837235798627e-08	1.39330825214416e-05	6.55674460849527e-08	2.29486061297335e-05	NA	prevalence	92	46	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13	estertheticum
ASV260	Lifestage	.L	Lifestage.L	-4.27656894459216	0	0.819669129896043	1.81419602825338e-07	3.85516656003844e-05	3.62839172737604e-07	6.34968552290807e-05	NA	prevalence	92	44	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	taeniospiralis
ASV14	Lifestage	.L	Lifestage.L	-3.0543478615203	1.30538804105873	0.668716523905555	1.17829328333885e-06	0.000166924881806336	2.35658517830263e-06	0.00027493493746864	NA	abundance	92	50	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	hirudinis
ASV702	Lifestage	.L	Lifestage.L	-2.86678926026854	0	0.602495554953583	1.95335090513259e-06	0.000207543533670338	3.90669799468543e-06	0.000341836074534975	NA	prevalence	92	33	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	blasticus
ASV1536	Lifestage	.L	Lifestage.L	-2.42561914268484	0	0.522040238236621	3.37742081199693e-06	0.000252055296792948	6.75483021702251e-06	0.000415149161959694	NA	prevalence	92	33	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	brunescens
ASV863	Lifestage	.L	Lifestage.L	-3.17026042459149	0	0.683889084809438	3.55842771942986e-06	0.000252055296792948	7.11684277645189e-06	0.000415149161959694	NA	prevalence	92	33	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonas	aquatica
ASV499	Lifestage	.L	Lifestage.L	-4.3293079829192	0	0.967825572290895	7.70462312693016e-06	0.000409308103618165	1.54091868926428e-05	0.00077045934463214	NA	prevalence	92	44	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	vulgare
ASV488	Lifestage	.L	Lifestage.L	-3.75835606304546	0	0.904542813224346	3.25317939554793e-05	0.00153622360345319	6.50625295933408e-05	0.00284648566970866	NA	prevalence	92	31	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	defluvii
ASV3605	Lifestage	.L	Lifestage.L	-2.46580309450366	1.30538804105873	0.623055428742032	0.000130327231935824	0.00545443267223383	0.000260637478684264	0.00898313732468831	NA	abundance	92	18	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	acetoxidans
ASV624	Lifestage	.L	Lifestage.L	-1.74068292883024	0	0.457339930797605	0.00014117355151664	0.00545443267223383	0.000282327173061633	0.00898313732468831	NA	prevalence	92	27	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	nealsonii
ASV3	Lifestage	.L	Lifestage.L	4.44706886428895	1.30538804105873	0.655981320760128	0.000193784281730431	0.00660358376584361	0.000193784281730431	0.00753605540062787	NA	abundance	92	42	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	moraviensis
ASV1977	Lifestage	.L	Lifestage.L	-2.09551480834388	0	0.563839092553684	0.00020199197401404	0.00660358376584361	0.000403943147270514	0.0117816751287233	NA	prevalence	92	23	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	phototrophica
ASV163	Lifestage	.L	Lifestage.L	-2.6716688030493	0	0.776184326119946	0.000577313785773609	0.0175255970681274	0.00115429428033997	0.0310771537014608	NA	prevalence	92	22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecium
ASV638	Lifestage	.L	Lifestage.L	-2.57535335585444	0	0.770650447085366	0.000832394675423955	0.0235845158036787	0.00166409646995224	0.0416024117488059	NA	prevalence	92	20	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 5	cavendishii
ASV3605	Lifestage	.L	Lifestage.L	-2.71581920409388	0	0.836423506880475	0.00116651870451517	0.0309856530886842	0.000260637478684264	0.00898313732468831	NA	prevalence	92	18	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	acetoxidans
ASV3605	Location	UP	LocationUP	-2.61176008265806	0	0.82646202561645	0.00157677382383112	0.0394193455957781	0.00315106143197073	0.0735247667459837	NA	prevalence	92	18	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	acetoxidans
ASV14	Lifestage	.L	Lifestage.L	-6.85360907560863	0	2.48708400315449	0.00585701646679393	0.131012210441443	2.35658517830263e-06	0.00027493493746864	NA	prevalence	92	50	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	hirudinis
ASV702	Lifestage	.L	Lifestage.L	3.91146474369856	1.30538804105873	0.941295757497513	0.0157607484118664	0.266652573806716	3.90669799468543e-06	0.000341836074534975	NA	abundance	92	33	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	blasticus
ASV1536	Lifestage	.L	Lifestage.L	1.19802741370223	1.30538804105873	0.57904453189346	0.872380199202654	1	6.75483021702251e-06	0.000415149161959694	NA	abundance	92	33	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	brunescens
ASV163	Lifestage	.L	Lifestage.L	2.22927204515132	1.30538804105873	1.45600172382004	0.539148345108982	1	0.00115429428033997	0.0310771537014608	NA	abundance	92	22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecium
ASV1977	Lifestage	.L	Lifestage.L	0.445316797041876	1.30538804105873	0.713753708422292	0.289745114876563	1	0.000403943147270514	0.0117816751287233	NA	abundance	92	23	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	phototrophica
ASV260	Lifestage	.L	Lifestage.L	0.674433445670515	1.30538804105873	1.51180335470289	0.679921798760199	1	3.62839172737604e-07	6.34968552290807e-05	NA	abundance	92	44	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	taeniospiralis
ASV262	Lifestage	.L	Lifestage.L	1.31474768985859	1.30538804105873	0.554918738729913	0.988487088814284	1	6.55674460849527e-08	2.29486061297335e-05	NA	abundance	92	46	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13	estertheticum
ASV3605	Location	UP	LocationUP	0.353001440219398	0.287752426131588	0.541576593283949	0.927582516266843	1	0.00315106143197073	0.0735247667459837	NA	abundance	92	18	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	acetoxidans
ASV488	Lifestage	.L	Lifestage.L	1.29602839225888	1.30538804105873	1.47576909537255	0.995001127735176	1	6.50625295933408e-05	0.00284648566970866	NA	abundance	92	31	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	defluvii
ASV499	Lifestage	.L	Lifestage.L	1.91198412850759	1.30538804105873	0.642381660247473	0.41542842714775	1	1.54091868926428e-05	0.00077045934463214	NA	abundance	92	44	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	vulgare
ASV624	Lifestage	.L	Lifestage.L	1.33372463774435	1.30538804105873	0.780908546815107	0.97321482778509	1	0.000282327173061633	0.00898313732468831	NA	abundance	92	27	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	nealsonii
ASV638	Lifestage	.L	Lifestage.L	3.1291660927125	1.30538804105873	1.18719537831504	0.160767191570847	1	0.00166409646995224	0.0416024117488059	NA	abundance	92	20	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 5	cavendishii
ASV863	Lifestage	.L	Lifestage.L	1.95640429634487	1.30538804105873	1.07500155224602	0.563371983452681	1	7.11684277645189e-06	0.000415149161959694	NA	abundance	92	33	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonas	aquatica
ASV3	Lifestage	.L	Lifestage.L	2.01261761228093	0	0.443965256003054	5.80754949312265e-06	0.000352601219225304	0.000193784281730431	0.00753605540062787	Prevalence association possibly induced by stronger abundance association	prevalence	92	42	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	moraviensis
